xa,ya,za,xr,yr,zr,label
8.02,0.31,5.73,-0.01,0.00,-0.02,1
8.20,0.35,6.25,-0.01,0.02,-0.02,1
7.58,0.38,7.00,-0.01,0.68,-0.05,1
6.58,0.43,7.95,-0.01,0.17,-0.03,1
5.45,0.46,8.67,-0.02,0.04,-0.02,1
4.76,0.49,9.39,-0.02,0.15,-0.04,1
4.45,0.48,9.33,-0.01,0.02,-0.02,1
4.46,0.48,9.43,-0.01,0.06,-0.02,1
4.36,0.48,9.48,-0.01,0.11,-0.02,1
4.40,0.43,9.42,-0.01,0.00,-0.02,1
6.89,0.39,7.61,-0.01,-0.15,-0.00,1
7.61,0.37,6.90,0.07,0.07,0.05,1
6.54,0.37,8.75,-0.02,0.22,-0.02,1
8.50,0.31,5.73,-0.01,-0.19,-0.01,1
9.14,0.26,4.52,-0.05,-0.02,-0.03,1
9.29,0.23,4.22,-0.03,-0.19,-0.01,1
9.73,0.16,2.83,-0.02,0.04,-0.02,1
9.77,0.14,2.80,-0.01,0.04,-0.02,1
9.86,0.11,2.32,0.00,0.03,-0.02,1
9.43,0.22,3.86,0.02,0.33,-0.04,1
8.70,0.31,5.44,-0.01,0.12,-0.03,1
-65.74,118.91,-57.80,-6.54,0.00,21.61,1
7.27,0.39,7.26,-0.01,-0.18,-0.01,1
6.48,0.44,8.03,-0.05,0.25,-0.08,1
5.62,0.48,8.73,-0.01,0.12,-0.02,1
5.59,0.46,8.75,-0.01,0.04,-0.01,1
6.33,0.44,8.17,-0.01,-0.38,0.00,1
7.30,0.41,7.28,-0.01,-0.38,0.00,1
8.68,0.30,5.43,-0.01,-0.20,-0.00,1
9.54,0.18,3.63,0.07,-0.32,0.02,1
9.97,0.06,1.58,-0.01,-0.13,-0.01,1
10.01,0.05,1.30,-0.00,0.03,-0.02,1
9.98,0.06,1.54,-0.01,0.12,-0.03,1
10.07,0.02,0.59,-0.00,0.01,-0.02,1
10.07,0.02,0.88,-0.03,0.14,-0.03,1
9.35,0.22,4.00,0.00,0.39,-0.04,1
6.60,0.42,7.93,-0.02,0.23,-0.05,1
5.81,0.47,8.60,-0.00,0.10,-0.02,1
5.40,0.48,8.84,-0.00,0.09,-0.02,1
5.30,0.48,8.86,-0.01,0.03,-0.02,1
5.25,0.49,8.95,-0.01,0.04,-0.02,1
4.44,0.62,9.44,-0.00,0.10,-0.04,1
6.51,0.47,8.26,-0.01,-0.44,0.01,1
9.05,0.25,4.77,-0.01,-0.10,-0.01,1
9.97,0.07,1.75,-0.01,-0.17,-0.01,1
9.66,0.15,3.13,-0.01,0.59,-0.06,1
6.99,0.49,7.74,-0.17,0.26,-0.22,1
4.88,0.46,9.35,0.02,-0.17,-0.05,1
5.62,0.48,8.73,-0.01,0.12,-0.02,1
5.59,0.46,8.75,-0.01,0.04,-0.01,1
6.33,0.44,8.17,-0.01,-0.38,0.00,1